あうとどあ,,あうｔ,両方
あかずきん,,あｋ,両方
あしかせ,しゅうじん,あ、あｓｋ,両方
あしながおじさん,,あｓ,両方
あめりかがっしゅうこく,あめりか,あｍ,両方
いたしゃ,,いｔ,両方
いっすんぼうし,,いｓ,両方
いんたーほん,,いんｔ,両方
いんど,,いｄ,両方
うさぎとかめ,,うｓ,両方
うらしまたろう,,うｒ,両方
うんどうかい,,うんｄ,両方
うんめいのあかいいと,あかいいと,ｒ,両方
えじぷと,,えｚ,両方
えんそく,,えｓ,両方
おおさかふ,おおさか,おｓ,両方
おーすとらりあ,,ーｓ、おーｓ,両方
おきなわけん,おきなわ,おｋ,両方
おとしだま,,おｔ,両方
おに,,おｈ、おに,両方
おむすびころりん,,おｍ,両方
がいとう,,ｇ,両方
かさじぞう,,ｋｓ,両方
かちかちやま,,かｔ,両方
かどまつ,,かｄ,両方
かんこく,こりあ,ｋｒ,両方
きす,ちゅー,きす,両方
きもだめし,,ｋｍ,両方
きょうとふ,きょうと,ｋｊ、きょ,両方
きんたろう,,ｋｎ,両方
くりすます,,くｒ,両方
くろーん,ふくせい,ｆｋ,両方
けっこんしき,,けｋ,両方
こいのぼり,,こ,両方
さっかー,,ｓｋ,両方
さふぁりぱーく,,ｓｆ,両方
さるかにがっせん,,ｓｒ,両方
さんびきのこぶた,,ｓｂ、ｓんｂ,両方
ししまい,,ｓｊ、ｓｓ,両方
しずおかけん,しずおか,ｓｚ,両方
しちにんのこびと,,しｔ,両方
じゃっくとまめのき,,ｊ,両方
しらゆきひめ,,しｒ,両方
じんこうこきゅう,,ｚｋ,両方
しんでれら,,ｓｎ,両方
しんれいしゃしん,,ｓんｒ,両方
すたんぷりれー,,ｓｔ,両方
せつぶん,,せｔ,両方
ぞんび,,ｚ,両方
だいえっと,,ｄ,両方
たなばた,,ｔｎ,両方
たまいれ,,ｔｍ,両方
ちゅうごく,ちゃいな,ｃ,両方
ちょっぷ,しゅとう,ｔｙ,両方
つきみ,,ｔｋ,両方
つなひき,,ｔ,両方
つるのおんがえし,,ｔｒ,両方
でんしゃごっこ,,ｄｎ,両方
とうきょうと,とうきょう,ｔｊ、とｋ,両方
どくしょ,,ｄｋ,両方
どっじぼーる,どっぢぼーる,ｄｚ,両方
なつやすみ,,なｔ,両方
ならけん,なら,んｒ,両方
にほん,,ｎ,両方
にんぎょひめ,,にｇ,両方
ねんがじょう,,んｇ,両方
ばすけっとぼーる,ばすけ,ｂｓ,両方
はだかのおうさま,,はｄ,両方
はつもうで,,はｔ,両方
はなさかじいさん,,ｈんｓ,両方
はなびたいかい,,ｈｎ,両方
はなみ,,ｈ,両方
はなよりだんご,はなだん,ｈｄ、；,両方
ばれーぼーる,ばれー,ｂ,両方
ばれんたいんでー,ばれんたいん,ｂｒ,両方
はろうぃん,,ｈｒ,両方
はわい,,ｆ,両方
ぱんくいきょうそう,ぱんくいそう,ｐｋ,両方
ひっちはいく,,ひｔ,両方
ひなまつり,,んｍ,両方
ふうせん,,ｈｓ,両方
ぶき,,ｂｊ、ｂｈ,両方
ほっかいどう,,ｈｋ,両方
ほっきょく,,ほ,両方
ぼんおどり,,ぼ,両方
まくらなげ,,ｍｋ,両方
まっちうりのしょうじょ,,まｔ,両方
みにくいあひるのこ,,ｍｎ,両方
むてき,,ｌ(エル）,両方
もちつき,,ｍｔ,両方
ももたろう,,ｍｍ,両方
やきゅう,,ｙ,両方
やまなしけん,やまなし,ｙｈ、ｙｍ,両方
ゆきがっせん,,ｙｇ,両方
らぶれたー,こいぶみ,ｒｂ,両方